Donovan Mitchell,Uta,G,22.77,21.4,5,3.2,1.6,0.2,4.2
Georges Niang,Uta,F,25.99,4.4,2.8,1,0.2,0.2,0.4
Royce O'Neale,Uta,F,26.03,10.6,4.6,1.6,0.4,0.4,2
Ricky Rubio,Uta,G,28.65,15.4,3.2,8.6,2.4,0.2,3
Jerome Robinson,Lac,G,22.31,3.6,1.2,1.4,0.4,0,0.2
Dante Cunningham,San,F,32.15,1.2,1.2,0,0,0,0
Donatas Motiejunas,San,F-C,28.73,2.6,1.4,0.4,0,0,0
Quincy Pondexter,San,F,31.26,0,0.2,0.4,0.2,0,0
Juancho Hernangomez,Den,F,23.71,0.6,0.6,0,0,0,0.2
Anfernee Simons,Por,G,20.02,0.8,0,0,0.2,0,0
Jacob Evans,Gol,G,21.99,0.7,0.1,0.1,0,0,0.29
Wilson Chandler,Lac,F,32.1,3.8,1.5,0.5,0.5,0,0.75
Bojan Bogdanovic,Ind,F,30.16,18,5.8,2.8,2,0,1.5
Darren Collison,Ind,G,31.81,12,3,4,0.5,0,2.5
Tyreke Evans,Ind,G,29.74,15.3,4.3,0.8,0.5,0.25,1.5
Cory Joseph,Ind,G,27.82,7.5,1.8,1,1,0,0
Wesley Matthews,Ind,G-F,32.67,7,2.5,2,0.75,0.25,2
Domantas Sabonis,Ind,F,23.11,8.5,7.3,4,0.75,0.25,1.25
Myles Turner,Ind,F-C,23.22,9.8,6.3,1.5,0,1.75,0.75
Thaddeus Young,Ind,F,30.98,10.5,7,3.8,2.75,0.75,1.25
Bruce Brown,Det,G,22.83,3.3,2,0.5,0.5,0.25,0.5
Andre Drummond,Det,C,25.84,14.3,13,2.3,1.5,1.25,2.75
Wayne Ellington,Det,G,31.54,7.8,3.8,1.3,0.75,0,0.5
Langston Galloway,Det,G,27.51,7.8,3.8,1,0.5,1,0.5
Reggie Jackson,Det,G,29.16,17.8,3.3,7,0.75,0,1.25
Luke Kennard,Det,G,22.97,15,4,1.8,0.75,0.25,0.75
